"id","oc4ids_identifier","title","description","purpose","status","created_at","project_type","project_sector","pde","pde_category","market_price"
"34","oc4ids-o8h2mh-1653561026-34","Civil works for the Periodic Mainatenance of Kampala Northern Bypass Phase 1 (21 Km)",NULL,NULL,"identification","2022-05-26 10:30:26","Rehabilitation","Road transport","Uganda National Roads Authority","Central Government","56349056544"
"87","oc4ids-o8h2mh-1656490813-87","Agwata Water resource project","description","purpose","identification","2022-06-29 08:20:13","Construction","Transport","Ministry of Agriculture, Animal Industry and Fisheries","Central Government","180000000"
"90","oc4ids-o8h2mh-1656495312-90","Construction of Maruzi Access roads",NULL,NULL,"identification","2022-06-29 09:35:12","Construction","Road transport","National Agricultural Research Organization","Central Government","480000000"
"91","oc4ids-o8h2mh-1656496179-91","Agriculture Cluster Development Project - ACDP","Procurement of Works Contracts for Rehabilitation of Road Chokes in Roll Out Cluster Districts","Procurement of Works Contracts for Rehabilitation of Road Chokes in Roll Out Cluster Districts","identification","2022-06-29 09:49:39","Rehabilitation","Road transport","Ministry of Agriculture, Animal Industry and Fisheries","Central Government","25949714348"
"94","oc4ids-o8h2mh-1656502011-94","Construction of a staff residential block at Maruzi",NULL,NULL,"identification","2022-06-29 11:26:51","Construction","Social housing","National Agricultural Research Organization","Central Government","640000000"
"95","oc4ids-o8h2mh-1656663648-95","Renovation of Hostel, Laboratory and Office Blocks at ABi Zardi",NULL,NULL,"identification","2022-07-01 08:20:48","Rehabilitation","Social housing","National Agricultural Research Organization","Central Government","450000000"
"96","oc4ids-o8h2mh-1657096695-96","Remedial Works on Ntungamo - Kabale - Katuna","Remedial Works on Ntungamo - Kabale - Katuna","Remedial Works","identification","2022-07-06 08:38:15","Construction","Transport","Uganda National Roads Authority","Central Government","71074406240"
"103","oc4ids-o8h2mh-1657273953-103","PROJECT TEST","description","description","identification","2022-07-08 09:52:33","Construction","Social housing","National Social Security Fund","Central Government","20000000000"
"110","oc4ids-o8h2mh-1657613524-110","Remodeling of University Hospital","The Erecting of Boundary Wall","Securing the University Hospital","identification","2022-07-12 08:12:04","Construction","Education","Makerere University","Central Government","370000000"
"111","oc4ids-o8h2mh-1657788673-111","Construction of the Kamdini High-Speed Weigh-in -motion lanes station and parking yard","Kamdini High-Speed Weigh-in -motion lanes station and parking yard","High Speed WIM Lane","identification","2022-07-14 08:51:13","Construction","Road transport","Uganda National Roads Authority","Central Government","11806042129"
"106","oc4ids-o8h2mh-1657523153-106","Construction of NSSF Warehouse","Construction of NSSF Warehouse","Construction of NSSF Warehouse","identification","2022-07-11 07:05:53","Construction","Social housing","National Social Security Fund","Central Government","170000000"
"4","oc4ids-o8h2mh-1643089594-4","Upgrade of masts","upgrading of all masts nation wide","Enhance network connectivity","identification","2022-01-25 05:46:34","Rehabilitation","Communications","Uganda Communications Commission","Central Government","75000000"
"112","oc4ids-o8h2mh-1666332008-112","Routine Mechanized Maintenance of Selected Paved Roads","Routine Mechanized Maintenance","Maintenance","identification","2022-08-15 06:00:08","Construction","Road transport","Uganda National Roads Authority","Central Government","73392474614"
"113","oc4ids-o8h2mh-1667464372-113","Upgrading of Luwero - Butalangu Road (30Km) from gravel to paved (Bituminous) Standard.","Upgrading of Luwero - Butalangu Road (30Km) from gravel to paved (Bituminous) Standard.","Upgrading","identification","2022-11-03 19:53:14","Construction","Road transport","Uganda National Roads Authority","Central Government","95544023162"
"114","oc4ids-o8h2mh-1667552499-114","Periodic maintenance of Kibuye - Entebbe Road (22km)","Maintenance of Kibuye - Entebbe Road (22Km)","Maintenance","identification","2022-09-21 09:01:39","Construction","Road transport","Uganda National Roads Authority","Central Government","37958891168"
"115","oc4ids-o8h2mh-1668170130-115","Construction of High Speed weigh in motion lanes, Station and Parking yard for Kamdini weigh station","Construction of High Speed weigh in motion lanes, Station and Parking yard for Kamdini weigh station","Construction of High Speed weigh in motion lanes, Station and Parking yard for Kamdini weigh station","identification","2022-11-11 12:35:30","Construction","Road transport","Uganda National Roads Authority","Central Government","11806042129"
"4","oc4ids-o8h2mh-1643089594-4","Upgrade of masts","upgrading of all masts nation wide","Enhance network connectivity","identification","2022-01-25 05:46:34","Rehabilitation","Communications","Uganda Communications Commission","Central Government","114000000"
"128","oc4ids-o8h2mh-1668587026-128","Building Maintenance works under framework contract for three years.","Building Maintenance works under framework contract for three years.","Building Maintenance works under framework contract for three years.","identification","2022-11-16 19:52:58","Rehabilitation","Road transport","Uganda National Roads Authority","Central Government","1870351153"
"129","oc4ids-o8h2mh-1668592689-129","Mechanized Maintenance of Unpaved Roads under framework contract Phase 3","Mechanized Maintenance of Unpaved Roads under framework contract Phase 3","Mechanized Maintenance","identification","2022-11-16 09:58:09","Rehabilitation","Road transport","Uganda National Roads Authority","Central Government","503532615248"
"4","oc4ids-o8h2mh-1643089594-4","Upgrade of masts","upgrading of all masts nation wide","Enhance network connectivity","identification","2022-01-25 05:46:34","Rehabilitation","Communications","Uganda Communications Commission","Central Government","19470000"
"131","oc4ids-o8h2mh-1671112251-131","Renovation Works to the Main Administration Block at Isingiro District","Renovation Works to the Main Administration Block at Isingiro District","to do renovation on Isingiro DLG main administration building","identification","2022-12-15 13:50:51","Construction","Transport","Isingiro District Local Government","Local Government","199000000"
"132","oc4ids-o8h2mh-1671113339-132","Construction of Office Block for Rugaaga T/C phase I","Construction of Office Block for Rugaaga T/C phase I","construction of offices at Rugaaga T/C","identification","2022-12-15 14:08:59","Construction","Governance","Isingiro District Local Government","Local Government","60000000"
"133","oc4ids-o8h2mh-1671113945-133","Construction of Gates at Kaberebere T/C weekly market","Construction of Gates at Kaberebere T/C weekly market","construct gates for the weekly market","identification","2022-12-15 14:19:05","Construction","Governance","Isingiro District Local Government","Local Government","30000000"
"134","oc4ids-o8h2mh-1671114675-134","Construction of 2 -stance pit latrine attached with urinal & curtain wall at Kamubeizi T/C headquarters in Kamubeizi T/C and 3 -stance Pit latrine at Kanywamaizi HCIII in Kabuyanda S/C.","Construction of 2 -stance pit latrine attached with urinal & curtain wall at Kamubeizi T/C headquarters in Kamubeizi T/C and
3 -stance Pit latrine at Kanywamaizi HCIII in Kabuyanda S/C.","construct latrine facilities in the specified areas","identification","2022-12-15 14:31:15","Construction","Health","Isingiro District Local Government","Local Government","30000000"
"135","oc4ids-o8h2mh-1671115151-135","Construction of 3 -stance Pit latrine at Kabuyanda weekly market and 5 stance VIP latrine at Kisyoro P/S in Kabuyanda T/C.","Construction of 3 -stance Pit latrine at Kabuyanda weekly market and 5 stance VIP latrine at Kisyoro P/S in Kabuyanda T/C.","construct latrines in the market and primary school","identification","2022-12-15 14:39:11","Construction","Health","Isingiro District Local Government","Local Government","40000000"
"34","oc4ids-o8h2mh-1653561026-34","Civil works for the Periodic Mainatenance of Kampala Northern Bypass Phase 1 (21 Km)",NULL,NULL,"identification","2022-05-26 10:30:26","Rehabilitation","Road transport","Uganda National Roads Authority","Central Government","56349056544"
"140","oc4ids-o8h2mh-1677045920-140","Civil works for the Upgrading of Selected Town Roads (20.2Km) in Mbarara Municipality from Gravel to Paved (Bituminous) Standard.","Upgrading of Selected Town Roads (20.2Km) in Mbarara Municipality from Gravel to Paved (Bituminous) Standard.","Upgrading of Selected Town Roads (20.2Km) in Mbarara Municipality from Gravel to Paved (Bituminous) Standard.","identification","2023-02-22 06:05:20","Construction","Road transport","Uganda National Roads Authority","Central Government","67383004255"
"7","oc4ids-o8h2mh-1645185891-7","Drilling of two production wells at Kitongo and Maanyi rural growth centres","Drilling of two production wells at Kitongo and Maanyi rural growth centres","To provide safe water coverage","identification","2022-02-18 12:04:51","Construction","Water and waste",NULL,NULL,NULL
"8","oc4ids-o8h2mh-1645190049-8","Fencing of Ssekanyonyi Health Centre IV.","Fencing of Ssekanyonyi Health Centre IV with chain link and concrete poles, phase one","Security around the Heath facility","identification","2022-02-18 13:14:09","Construction","Health",NULL,NULL,NULL
"9","oc4ids-o8h2mh-1645190286-9","Construction of staff house at Namungo Health Centre III","Construction of  a four unit staff house at Namungo Health Centre III","Staff accommodation","identification","2022-02-18 13:18:06","Construction","Health",NULL,NULL,NULL
"10","oc4ids-o8h2mh-1645190574-10","Completion of a two classroom block at Namutidde primary school","Roofing, plastering ,shuttering and supply of 36 hardwood desks, two teachers' table and chairs at Namutidde primary school","Safe learning environment","identification","2022-02-18 13:22:54","Construction","Education",NULL,NULL,NULL
"11","oc4ids-o8h2mh-1645190807-11","Fencing of Namungo Health Centre","Fencing of Namungo Health Centre III with Chain link and concrete poles, phase two.","Security at the Health facility","identification","2022-02-18 13:26:47","Construction","Health",NULL,NULL,NULL
"12","oc4ids-o8h2mh-1645191197-12","Fencing of a Nursery bed at Kikandwa and re-roofing of Kikandwa Health III","Fencing of a Nursery bed at Kikandwa and re-roofing with transparent iron sheets of Kikandwa Health III","Security and improved sanitation","identification","2022-02-18 13:33:17","Rehabilitation","Health",NULL,NULL,NULL
"13","oc4ids-o8h2mh-1645191408-13","Construction of a 3-stance latrine at Kalangaalo public market","Construction of a 3-stance lined latrine at Kalangaalo public market","Sanitation","identification","2022-02-18 13:36:48","Construction","Health",NULL,NULL,NULL
"14","oc4ids-o8h2mh-1645778997-14","Completion  works at Busunju Health Centre III","Completion of maternity ward, a  four stance lined latrine, construction of a placenta pit, medical waste pit, improvement of OPD and external works","Health care services","identification","2022-02-25 08:49:57","Construction","Health",NULL,NULL,NULL
"15","oc4ids-o8h2mh-1645779336-15","construction of Namungo piped water system","Construction of Namungo pipe water system phaseI; gravity transmission mains and public stand posts.","Provision of safe water coverage.","identification","2022-02-25 08:55:36","Construction","Water and waste",NULL,NULL,NULL
"16","oc4ids-o8h2mh-1645781285-16","Renovation of a  classroom block at Kitebere P/S","Renovation of a seven classroom block at Kitebere P/S","Provide conducive  learning environment","identification","2022-02-25 09:28:05","Rehabilitation","Education",NULL,NULL,NULL
"17","oc4ids-o8h2mh-1645781379-17","Renovation of a classroom block at Kiggwa P/S","Renovation of a two  classroom block at Kiggwa P/S","Provide a conducive learning environment","identification","2022-02-25 09:29:39","Rehabilitation","Education",NULL,NULL,NULL
"18","oc4ids-o8h2mh-1645781482-18","Renovation of doctor's house A at Mityana hospital","Renovation of doctor's house A at Mityana hospital","provide conducive environment for health workers","identification","2022-02-25 09:31:22","Rehabilitation","Health",NULL,NULL,NULL
"19","oc4ids-o8h2mh-1645790140-19","Renovation  works for schools in Namungo sub county","Renovation  works for schools in Namungo sub county; Kiteete, Mpumudde, Namungo R/C, Kisaana Umea,Namungo C/U, Mpirigwa C/U, Nabutaka, St.Luke Mpirigwa, Kasangula,Mugulu R/C and Kawolongojjo primary schools in Namungo sub county","To provide convenient learning  environment","identification","2022-02-25 11:55:40","Rehabilitation","Education",NULL,NULL,NULL
"20","oc4ids-o8h2mh-1645791791-20","Renovation of primary schools in Kikandwa sub county","Renovation of primary schools in Kikandwa sub county; Bambula, Kajoji, Kabilamuliro, Nakaseeta, Nakwaya, Luwunga, Kibanda, St.Kizito Namigavu, Nampewo and Kabongezo.","Conducive learning environment","identification","2022-02-25 12:23:11","Rehabilitation","Education",NULL,NULL,NULL
"21","oc4ids-o8h2mh-1645792097-21","Renovation of primary schools in Bbanda and Maanyi sub counties","Renovation of primary schools in Bbanda and Maanyi sub counties; Nsoga, Misigi,Ggulwe Umea,Kabayenga SDA, St.Noah Kimuli, Bujubi, Buluma, Nfumbye SDA, Bbanda UMea,Bbanda C/U, Bbanda R/C, Ndiraweeru,Lusalira, Bukola and Buzibazi","provide conducive learning environment","identification","2022-02-25 12:28:17","Rehabilitation","Education",NULL,NULL,NULL
"27","oc4ids-o8h2mh-1648801486-27","Civil Works for the Upgrading of the Nabumali-Butaleja-Namutumba Road (72.0km) from gravel to paved (Bituminous) Standard","Upgrading of the Nabumali-Butaleja-Namutumba (72.0Km) from gravel tp paved (Bituminous) Standard","To replace the existing road that is class c gravel road and to ease the link between Mbale - Tororo Section of A109 and Mbale-Busembatia-Iganga Section of A109","identification","2022-04-01 08:24:46","Construction","Road transport",NULL,NULL,NULL
"29","oc4ids-o8h2mh-1649842148-29","Design and Build of Package 6A upgrading of Kabwoya - Buhuka Road (43km)","Kabwoya Trdaing Centre along the existing Kigumba- Kabwoya","Facilitate development of the oil production facilities in the Albertine Graben and delivery of first oil.","identification","2022-04-13 09:29:08","Construction","Road transport",NULL,NULL,NULL
"30","oc4ids-o8h2mh-1650877607-30","Construction of a 5-Stance VIP latrine at Muyebe PS",NULL,"To provide a place for both short and long calls to the pupils of Muyebe Primary School","identification","2022-04-25 09:06:47","Construction","Education",NULL,NULL,NULL
"31","oc4ids-o8h2mh-1653551184-31","Consultancy Services for Design and Supervision of Construction of the Proposed Border Facilities at Mpondwe and Bunagana Border Post","To support regional peace and stability through programs to improve livelihoods in Border areas, promote cross border trade and strengthen economic interdependence.","to provide sufficient information to enable prospective bidders understand the assignment, its correct execution and prepare consultancy proposals that are realistic, competitive and meet the needs of MOWT in the proposes project.","identification","2022-05-26 07:46:24","Construction","Economy",NULL,NULL,NULL
"35","oc4ids-o8h2mh-1653561696-35","Emergency Reconstruction of Saka Swamp Crossing on the Kaliro - Pallisa National Road Network under Design and Build Scheme",NULL,NULL,"identification","2022-05-26 10:41:36","Construction","Road transport",NULL,NULL,NULL
"36","oc4ids-o8h2mh-1653562278-36","Civil works for the Refurbishment of the Post-Cras Care Centre Theatre Block at Kaproron Health Centre IV",NULL,NULL,"identification","2022-05-26 10:51:18","Rehabilitation","Health",NULL,NULL,NULL
"37","oc4ids-o8h2mh-1653562606-37","Design and Build  of Package 6B (Upgrading of Karugutu - Ntoroko Road (56.5Km), Link to Rwebisengo (8.2km) and 3.3km of Town Roads in Ntoroko",NULL,NULL,"identification","2022-05-26 10:56:46","Construction","Road transport",NULL,NULL,NULL
"38","oc4ids-o8h2mh-1653562930-38","Civil works for the Upgrading of the Luku - Kalangala - Mulabana Road (65.3km), 7No. Town Roads (10.67km) from gravel to paved (bituminous) standard and  2No. Ferry Landing Sites",NULL,NULL,"identification","2022-05-26 11:02:10","Construction","Road transport",NULL,NULL,NULL
"39","oc4ids-o8h2mh-1653563092-39","Design and Build of Iganga - Bulopa - Kamuli Road (56.3km)",NULL,NULL,"identification","2022-05-26 11:04:52","Construction","Road transport",NULL,NULL,NULL
"41","oc4ids-o8h2mh-1653563407-41","Civil works for the Upgrading of Selected Access roads in Rushere Town (3km) and Kyamate Access Roads (2.6Km) to Bitumen Paved standard",NULL,NULL,"identification","2022-05-26 11:10:07","Construction","Road transport",NULL,NULL,NULL
"42","oc4ids-o8h2mh-1653563585-42","Completion of Building works at Plot 783 Block 216 Buye Ntinda along Kampala - Northern Bypass",NULL,NULL,"identification","2022-05-26 11:13:05","Construction","Road transport",NULL,NULL,NULL
"43","oc4ids-o8h2mh-1653563979-43","Civil Works for the Rehabilitation of Karuma-Olwiyo Road (43.5KM",NULL,NULL,"identification","2022-05-26 11:19:39","Rehabilitation","Road transport",NULL,NULL,NULL
"46","oc4ids-o8h2mh-1653649543-46","Rehabilitation of Community Access Roads in Various Districts","Rehabilitating  Community Access roads under Community Roads Improvement Project","To consolidate and increase the stock and quality of productive infrastructure (Integrated transport infrastructure and services)","identification","2022-05-27 11:05:43","Rehabilitation","Road transport",NULL,NULL,NULL
"47","oc4ids-o8h2mh-1653652579-47","Rehabilitation of Community Access Roads in Various Districts : (Bududa - Rwampara)","Rehabilitation of Community Roads under Community Roads Improvement  Project","Rehabilitation to improve road accessibility in Rural Areas for improved standard of living in Rural Communities and reduce transport costs","identification","2022-05-27 11:56:19","Rehabilitation","Road transport",NULL,NULL,NULL
"48","oc4ids-o8h2mh-1653655173-48","Construction  Works for Upgrading / Rehabilitation of Kiwologoma- Kitukutwe- Kijabijjo Road 4.5km - Kira Municipality","Rehabilitation and Upgrading to Bituminous Standards","to improve road accessibility,  and reduce transport costs","identification","2022-05-27 12:39:33","Construction","Road transport",NULL,NULL,NULL
"49","oc4ids-o8h2mh-1653655985-49","Construction Works for Upgrading/Rehabilitation of Jinja Industrial City Roads - 57Km Phase 1 of 18Km  in Jinja Municipality","To rehabilitate /upgrade the industrial Roads for easy  accessibility","Rehabilitate  and  improve road in Jinja Industrial City","identification","2022-05-27 12:53:05","Rehabilitation","Road transport",NULL,NULL,NULL
"50","oc4ids-o8h2mh-1653656986-50","Construction of Karujumba Bridge in Kasese District and Bugibuni - Bunadasa Bridge in Sironko District","Construction of Bridges  in two (2) districts of  Kasese and Sironko","to improve road accessibility in Rural Areas for improved standard of living in Rural Communities and reduce transport costs","identification","2022-05-27 13:09:46","Construction","Road transport",NULL,NULL,NULL
